model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,147.93341771848787,21884.29607787262,3.2698094603503766e-05,21892.994603580726,200.0,,,5.0
ensemble,random_forest,3,cpu_cores+ disk_free_gb+ ram_available_bytes,143.68514567728172,20645.421088301675,3.042523516656255e-05,20657.64312064555,200.0,,,10.0
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,108.56128210216531,11785.551971665916,2.2451887246568193e-06,12219.163276100096,100.0,3.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,110.86045686397867,12290.040896090077,2.800533485155196e-06,12634.825678723399,100.0,5.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,117.58940084512766,13827.267191116109,3.182131912705065e-06,14127.69465233753,100.0,10.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,115.87549960783139,13427.13140936453,3.262248277342432e-06,13720.24133920381,500.0,3.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,120.79861324133046,14592.304961028538,5.547334308083723e-06,14757.9794192483,500.0,5.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,123.06688383253159,15145.457896249824,7.019030098651263e-06,15272.782264803265,500.0,10.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,126.75227154641028,16066.13834217493,5.06760137766479e-06,16247.404220594659,1000.0,3.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,121.80453264083036,14836.34417185111,7.0959289386043985e-06,14962.433703438759,1000.0,5.0,,
xgboost,xgboost_regressor,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,111.17445827482027,12359.760172699753,7.843681675219826e-06,12474.891562908544,1000.0,10.0,,
linear_regression,ridge_regression,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,188.06164227254337,35367.18129424607,4.6074953478196694e-07,37502.190693957404,,,0.1,
linear_regression,ridge_regression,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,186.41417192816843,34750.24349566474,3.539277152654774e-07,37540.928946714535,,,1.0,
linear_regression,ridge_regression,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,187.2784464264421,35073.21649590174,3.481361708338605e-07,37910.58252524687,,,10.0,
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,98.9005878508427,9781.326277242255,7.132286967536216e-06,9911.752433438962,50.0,5.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,99.34955331814474,9870.333744514886,6.96175815927194e-06,10004.105286446296,50.0,5.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,99.04359454932019,9809.633621250128,6.81310851886044e-06,9946.599867865007,50.0,5.0,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,95.82422128403043,9182.28138469083,8.763571982441644e-06,9287.207825412099,50.0,10.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,99.80438955760974,9960.91617496712,8.459194147313333e-06,10069.169828949241,50.0,10.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,94.31800225783566,8895.885549909091,8.214984023780153e-06,9008.718446436575,50.0,10.0,,10.0
